Eigenvalues,Proportion of Variance,Cumulative Proportion
0.0019264530697120949,0.2041478592320536,0.2041478592320536
0.0013955326229577662,0.1478857709769684,0.352033630209022
6.079435966923548e-4,0.0644242965218599,0.41645792673088194
5.699601240980153e-4,0.06039915584324858,0.4768570825741305
4.0974801559794317e-4,0.043421343361041975,0.5202784259351725
3.5978534160920067e-4,0.038126756590840964,0.5584051825260133
3.4595103647329524e-4,0.03666072358860428,0.5950659061146177
3.147208403594238e-4,0.03335123332368084,0.6284171394382985
2.853785806887267e-4,0.030241809278537056,0.6586589487168355
2.5744250063135016e-4,0.027281399274933386,0.685940347991769
2.1998871040848267e-4,0.02331238948469359,0.7092527374764626
1.9524523046686513e-4,0.020690302012410972,0.7299430394888735
1.6878697702134155e-4,0.01788649854330805,0.7478295380321816
1.6029961297929837e-4,0.016987085405792496,0.7648166234379741
1.5259540838972002e-4,0.016170664337054372,0.7809872877750283
1.430705364786447e-4,0.01516130561418855,0.796148593389217
1.3430483139097692e-4,0.014232396440930394,0.8103809898301473
1.1647967965929558e-4,0.012343450053540268,0.8227244398836876
1.1001090399580855e-4,0.011657948431769309,0.8343823883154569
9.908951684668832e-5,0.010500599809375635,0.8448829881248325
9.277549903886186e-5,0.00983149800830582,0.8547144861331384
8.989025707082563e-5,0.009525746479549867,0.8642402326126882
8.511335963083757e-5,0.009019534622392932,0.873259767235081
7.553593957690155e-5,0.008004607328436386,0.8812643745635175
7.394942286939525e-5,0.007836482812679716,0.8891008573761973
7.093727544340222e-5,0.007517283005336514,0.8966181403815339
6.757282421348507e-5,0.007160749266271236,0.9037788896478052
6.529164267008418e-5,0.006919010531013822,0.910697900178819
5.95809134130976e-5,0.006313839727324378,0.9170117399061433
5.536656263962203e-5,0.00586724141564759,0.9228789813217908
5.134132763056178e-5,0.005440683861287663,0.9283196651830785
4.918845344922474e-5,0.005212541965580024,0.9335322071486585
4.8136404420698856e-5,0.005101055441274078,0.9386332625899326
4.3680965628063385e-5,0.004628908828539873,0.9432621714184724
4.021608622179585e-5,0.004261732630786737,0.9475239040492591
3.577378643896297e-5,0.0037909783700209227,0.9513148824192802
3.465229556305082e-5,0.003672133034484168,0.9549870154537644
3.391100192954569e-5,0.0035935775219094234,0.9585805929756739
3.1581233572334876e-5,0.0033466900009472616,0.961927282976621
3.08703123728907e-5,0.0032713530808680703,0.965198636057489
2.678067500656007e-5,0.0028379707543021893,0.9680366068117913
2.4447512978552185e-5,0.0025907236031787466,0.97062733041497
2.3563947979886082e-5,0.002497091473849474,0.9731244218888195
2.2792574323472956e-5,0.0024153483558360797,0.9755397702446555
2.064587445979336e-5,0.0021878607577865586,0.9777276310024422
1.9481925750550764e-5,0.0020645161297841233,0.9797921471322264
1.9280367341472096e-5,0.002043156814900954,0.9818353039471273
1.754343550321447e-5,0.001859092680670431,0.9836943966277978
1.673442652307013e-5,0.0017733613156075613,0.9854677579434052
1.5703656617450897e-5,0.0016641297579322732,0.9871318877013374
1.5027394702244284e-5,0.0015924657114833082,0.9887243534128207
1.3179234044919025e-5,0.001396614565331981,0.9901209679781527
1.301193610945028e-5,0.0013788858617799185,0.9914998538399327
1.2590796027467414e-5,0.001334257291520243,0.9928341111314529
1.0787901177437185e-5,0.001143203001207751,0.9939773141326607
9.868043629921207e-6,0.0010457249198175314,0.9950230390524781
9.401256619984359e-6,9.962591060408272e-4,0.996019298158519
7.3297201530604435e-6,7.7673663664226e-4,0.9967960347951612
7.065898368007027e-6,7.487792192080098e-4,0.9975448140143693
6.776551335418635e-6,7.181168697291847e-4,0.9982629308840985
6.08148841653757e-6,6.444604650380712e-4,0.9989073913491365
5.771510917572518e-6,6.116118876090458e-4,0.9995190032367456
4.538953749399733e-6,4.809967632545236e-4,1
